LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,STATUS
5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,NA,bad
5000,46696,85202,HomeImp,Other,2,1,2,148.34064549000001,0,14,46.489874001,bad
5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,NA,bad
5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,NA,bad
5100,15500,34000,DebtCon,Other,0,1,2,86.233333333,2,13,NA,bad
5100,129319,141875,HomeImp,Sales,7,1,0,157.85980209,0,36,25.650741224,bad
5200,NA,9500,DebtCon,Other,1,0,1,81.1,1,2,NA,bad
5200,40564,39527,HomeImp,Other,0,0,0,157.77103572,1,13,72.670433313,bad
5300,26908,36078,HomeImp,Other,NA,0,0,302.35870946,0,8,39.196985402,bad
5300,51000,64000,HomeImp,Mgr,10,1,0,98.333333333,0,12,NA,bad
5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,NA,bad
5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,NA,bad
5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,NA,bad
5500,24700,35675,DebtCon,Other,1,0,3,153.93333333,3,27,NA,bad
5500,NA,43132,HomeImp,Other,NA,NA,NA,NA,NA,NA,NA,bad
5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,NA,bad
5500,NA,13770,HomeImp,Mgr,5,0,1,167.36666667,1,8,NA,bad
5500,40584,46645,HomeImp,Other,4,0,1,136.32063746,0,13,34.494708965,bad
5500,NA,12972,HomeImp,Other,1,0,1,82.294266354,0,2,36.986744097,bad
5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845002,0,10,33.126483967,bad
5500,85845,122205,DebtCon,ProfExe,5,0,0,172.21327665,1,26,32.676640875,bad
5600,5000,66700,HomeImp,Other,31,1,1,204.06666667,0,11,NA,bad
5600,55160,86800,HomeImp,Other,3,1,1,148.13333333,1,14,NA,bad
5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,NA,bad
5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,NA,bad
5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,NA,bad
5700,77213,92661,DebtCon,Sales,0,0,0,97.133170952,1,16,41.777888631,bad
5700,74172,79846,DebtCon,ProfExe,0,0,0,157.00977472,0,28,47.415228659,bad
5800,27791,46833,DebtCon,Mgr,3,0,0,83.289062746,1,13,30.187805389,bad
5900,NA,28000,DebtCon,Self,1,2,1,36.766666667,1,8,NA,bad
5900,NA,33100,HomeImp,Other,NA,0,0,238.6,1,2,NA,bad
5900,25972,41856,DebtCon,Other,2,0,2,157.96001139,3,27,40.628278175,bad
5900,106650,NA,DebtCon,Mgr,1,0,6,250.56666667,4,23,NA,bad
6000,47625,85925,HomeImp,Office,0.1,2,1,154.13333333,4,26,NA,bad
6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,NA,bad
6000,65000,94355,NA,Other,26,1,3,69.3,1,34,NA,bad
6000,NA,NA,HomeImp,Office,13,NA,2,122.76666667,NA,23,NA,bad
6000,33600,NA,HomeImp,Other,2,0,0,140.93333333,1,20,NA,bad
6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,NA,bad
6000,32446,54904,HomeImp,Other,2,0,0,51.733333333,1,9,NA,bad
6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,NA,bad
6000,22859,32200,DebtCon,Other,4,0,0,83.333333333,3,20,NA,bad
6000,16878,25850,NA,Mgr,1,0,1,218.6,5,34,NA,bad
6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,NA,bad
6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,NA,bad
6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,NA,bad
6000,NA,95500,HomeImp,Mgr,6,1,2,129.9,1,22,NA,bad
6000,NA,43683,HomeImp,Other,NA,NA,NA,NA,NA,NA,21.935498813,bad
6100,62751,95617,HomeImp,Other,1,0,0,138.64686318,1,13,31.757270694,bad
6200,NA,NA,DebtCon,Self,3,NA,NA,80.5,2,17,NA,bad
6200,42100,57385,DebtCon,Other,8.5,0,1,164.8,1,28,NA,bad
6300,59793,98314,DebtCon,Self,2.2,0,0,120.73333333,0,8,NA,bad
6300,65875,76000,DebtCon,Mgr,0.8,2,0,84,1,12,NA,bad
6300,12476,32559,HomeImp,Office,12,3,6,227.12990511,0,23,23.31951678,bad
6400,25144,45200,HomeImp,Other,25,0,2,128,4,17,NA,bad
6500,60054,70434,HomeImp,Other,1,0,0,127.06270157,2,21,37.800352933,bad
6500,13600,NA,HomeImp,Other,14,2,5,115.36666667,1,16,NA,bad
6500,48000,61000,DebtCon,Other,1,1,0,97.299756098,6,38,NA,bad
6500,65000,80400,DebtCon,Other,15,0,0,224.86666667,0,13,NA,bad
6500,96314,105800,HomeImp,ProfExe,27,0,0,475.8,2,40,NA,bad
6500,183860,208910,DebtCon,ProfExe,4,6,0,86.452226941,6,29,69.8005248,bad
6700,60301,70543,HomeImp,ProfExe,5,0,0,195.78086332,0,19,32.397593406,bad
6700,27510,42495,DebtCon,Other,2,0,2,171.52648922,3,27,41.428597508,bad
6700,NA,81239,HomeImp,Other,19,NA,NA,NA,NA,NA,40.894931701,bad
6700,NA,20631,HomeImp,Mgr,4,0,0,174.72183413,1,8,62.246451123,bad
6800,31000,42000,DebtCon,Mgr,3.5,1,0,106.26666667,2,26,NA,bad
6800,NA,27410,HomeImp,Mgr,6,1,0,2.0333333333,1,5,NA,bad
6900,53328,58088,DebtCon,Sales,2,0,0,101.5319079,0,21,35.764058362,bad
6900,5816,NA,HomeImp,Mgr,23,0,2,67.8,1,18,NA,bad
6900,57257,63752,DebtCon,Other,10,2,0,138.23477796,0,22,38.372460882,bad
6900,37055,83000,HomeImp,Sales,1,0,0,122.26666667,2,43,NA,bad
7000,142251,157250,HomeImp,Other,5,0,0,87.833333333,4,21,NA,bad
7000,19894,32500,DebtCon,Other,4,0,0,134.7,1,16,NA,bad
7000,27290,63500,HomeImp,Office,6,NA,NA,NA,NA,NA,NA,bad
7000,18000,46520,HomeImp,Office,17,0,1,183.1,0,23,NA,bad
7000,66000,86300,DebtCon,Other,3,1,1,242.43333333,0,8,NA,bad
7000,46000,66660,DebtCon,Office,1,0,1,138.23333333,0,9,NA,bad
7000,53194,81150,HomeImp,ProfExe,14,7,0,183.63333333,2,28,NA,bad
7000,83000,97635,HomeImp,Other,5.6,3,0,141,0,10,NA,bad
7000,138841,160000,DebtCon,Mgr,11,8,0,86.2,2,36,NA,bad
7000,38800,53500,HomeImp,ProfExe,15,0,0,96.366666667,0,18,NA,bad
7000,25000,49840,DebtCon,Office,0.6,0,0,139,0,13,NA,bad
7000,18000,25000,DebtCon,Other,6.5,1,0,205.96666667,1,19,NA,bad
7000,74500,81600,HomeImp,ProfExe,2,2,0,340.9,0,29,NA,bad
7000,64300,119500,HomeImp,Other,1,1,0,54.833333333,0,8,NA,bad
7000,NA,96783,HomeImp,Other,20,NA,NA,NA,NA,NA,40.730315337,bad
7100,39000,55000,NA,Other,12,0,1,192.76666667,2,31,NA,bad
7100,54000,74800,DebtCon,Mgr,7.5,1,1,71,4,18,NA,bad
7200,54600,65000,DebtCon,Other,14,2,1,98.433333333,11,9,NA,bad
7200,46000,67000,DebtCon,Other,24,0,0,142,1,14,NA,bad
7200,43705,50000,DebtCon,Other,9,0,2,235.36666667,6,16,NA,bad
7200,15637,39660,HomeImp,Self,6,0,1,354.23976343,3,42,33.624133446,bad
7200,NA,76723,HomeImp,Other,10,0,0,70.193890188,0,11,41.250706258,bad
7300,58671,87975,HomeImp,Mgr,3,0,0,74.066666667,1,16,NA,bad
7300,60890,75785,DebtCon,Other,6,0,1,45.966666667,0,13,NA,bad
7300,28500,42050,HomeImp,Other,3,NA,NA,NA,NA,NA,NA,bad
7300,60971.32,77375,DebtCon,Other,2,NA,NA,NA,NA,NA,NA,bad
7400,2063,100448,HomeImp,Other,NA,0,0,96.133333333,0,14,NA,bad
7400,71576,89068,DebtCon,Sales,0,0,0,94.782230694,0,17,42.803421995,bad
7500,NA,51610,HomeImp,ProfExe,4,0,3,158.26666667,2,18,NA,bad
7500,57340,80000,DebtCon,ProfExe,4,0,5,86.233333333,3,14,NA,bad
7500,32070,36811,DebtCon,Other,1,1,0,228.03600011,0,6,30.162214113,bad
7500,59000,72000,HomeImp,Office,5,0,3,295.86666667,0,19,NA,bad
7500,NA,NA,HomeImp,Other,21,NA,NA,158.9,1,21,NA,bad
7500,35945,49750,HomeImp,Other,3,0,0,122.06666667,0,23,NA,bad
7500,18400,29375,DebtCon,Other,6,1,0,147.1,0,9,NA,bad
7500,63500,86125,HomeImp,Other,5,0,0,136.1,0,8,NA,bad
7500,33600,50125,DebtCon,Other,2,0,0,146.93333333,0,18,NA,bad
7500,57800,109600,DebtCon,Mgr,4,0,1,124.13333333,1,18,NA,bad
7500,NA,40150,HomeImp,Other,5,0,0,NA,1,0,NA,bad
7500,80440,72920,HomeImp,Mgr,8,0,1,201.5,0,24,NA,bad
7500,60000,87830,HomeImp,Other,5,0,0,153.26666667,2,16,NA,bad
7500,126000,151380,HomeImp,ProfExe,18,0,2,75.666666667,1,13,NA,bad
7500,NA,71799,HomeImp,Mgr,4,0,3,177.5,0,22,NA,bad
7500,39600,42000,DebtCon,Self,1,0,0,47.7,1,15,NA,bad
7500,42077,91676,HomeImp,Office,5.5,1,4,344.9,1,30,NA,bad
7500,42721,67000,DebtCon,Other,15,1,3,126.76666667,2,23,NA,bad
7500,NA,NA,HomeImp,Other,20,NA,NA,157.32842275,0,20,NA,bad
7500,12115,35910,HomeImp,Office,13,3,6,234.90075082,0,24,24.662276673,bad
7500,50000,80000,HomeImp,Other,9,NA,5,299.56666667,2,18,NA,bad
7700,14589,33100,DebtCon,Other,3,0,7,122.06666667,0,22,NA,bad
7800,NA,11702,HomeImp,Other,0,0,0,44.629591574,2,7,21.271785371,bad
7900,67222,75189,HomeImp,Other,4,0,0,95.676872691,0,23,36.97971203,bad
7900,126919,166566,HomeImp,Mgr,10,NA,NA,NA,NA,NA,NA,bad
7900,55383,70020,DebtCon,Other,12,2,0,80.778941503,10,8,44.858977324,bad
8000,49685,81020,HomeImp,Other,2,0,3,129.3624659,0,15,47.000975215,bad
8000,28000,41950,DebtCon,Office,2,0,0,103.4,1,20,NA,bad
8000,47823,63000,DebtCon,Other,5,0,0,53.666666667,2,18,NA,bad
8000,61000,90450,HomeImp,Other,4,2,1,139.86666667,0,9,NA,bad
8000,58000,73750,DebtCon,Mgr,22,0,4,221.43333333,1,20,NA,bad
8000,33000,38500,HomeImp,Other,2,0,0,NA,0,0,NA,bad
8000,33689.3,48000,DebtCon,Other,3,0,0,103.73333333,0,13,NA,bad
8000,47306,68350,HomeImp,Other,9,0,0,82.633333333,0,20,NA,bad
8000,37871,NA,HomeImp,ProfExe,15,6,2,179.63333333,0,30,NA,bad
8000,4500,NA,DebtCon,Other,1,3,2,102.43333333,6,15,NA,bad
8000,63152,NA,DebtCon,Other,9,1,1,132.9,1,26,NA,bad
8000,21944,31352,DebtCon,Other,0,1,1,33.433333333,9,3,NA,bad
8000,86804,113000,DebtCon,Other,7,1,3,145.16666667,1,20,NA,bad
8000,36000,115800,DebtCon,Other,NA,0,0,168.23333333,3,30,NA,bad
8000,32100,36739,HomeImp,Other,4,0,0,79.458845053,2,8,31.276715679,bad
8000,92487,113947,DebtCon,Other,8,0,3,151.81738872,0,19,26.457524449,bad
8100,19772,39431,DebtCon,Other,0,0,1,82.335287775,1,12,20.342467722,bad
8100,28523,39816,DebtCon,Other,5,0,0,130.64393328,0,16,37.393526416,bad
8200,47700,60000,DebtCon,Other,0.1,0,0,NA,0,0,NA,bad
8200,87979,94854,HomeImp,ProfExe,10,0,0,108.47902378,3,19,41.270682597,bad
8300,82000,111000,DebtCon,Other,6,2,2,214.1,2,12,NA,bad
8300,NA,47244,HomeImp,Other,6,NA,NA,NA,NA,NA,NA,bad
8300,10000,63775,HomeImp,Other,0,0,0,200.86666667,0,14,NA,bad
8400,31800,72000,DebtCon,Self,NA,0,2,187.26666667,1,21,NA,bad
8400,44800,56000,DebtCon,Other,0,1,5,314.5,4,42,NA,bad
8400,48032,95213,HomeImp,Office,5,1,4,326.67959049,0,30,38.191681736,bad
8400,32000,49000,HomeImp,Mgr,12.6,0,3,41.3,2,18,NA,bad
8400,37256,45956,DebtCon,Other,1,0,0,214.44323,1,6,31.24524851,bad
8500,30077,42770,DebtCon,Office,0.25,0,0,89.266666667,0,10,NA,bad
8500,48961,73550,HomeImp,Other,11,6,1,145.1,4,11,NA,bad
8500,18240,40200,HomeImp,Other,1,0,1,306.4,0,12,NA,bad
8500,29383,45900,DebtCon,ProfExe,8,0,0,122.13333333,0,22,NA,bad
8600,36933,42289,DebtCon,Mgr,4,0,0,100.61642113,2,26,38.436490085,bad
8600,NA,25000,HomeImp,Other,0,6,0,64.866666667,2,27,NA,bad
8600,44992,66403,DebtCon,Other,8,0,0,172.55155504,1,27,43.875610821,bad
8700,62600,77600,DebtCon,Other,0.5,1,0,351.03333333,3,13,NA,bad
8700,57141,70244,HomeImp,Other,8,0,0,106.85542816,0,19,31.891314262,bad
8800,12750,NA,HomeImp,Office,23,NA,NA,NA,NA,NA,NA,bad
8800,108608,NA,DebtCon,Mgr,0,0,6,253.47175859,4,23,NA,bad
8800,2800,18361,HomeImp,Other,2,3,1,107.76666667,4,3,NA,bad
8800,67200,80300,HomeImp,Other,10,4,1,135.86666667,1,33,NA,bad
8800,33395,51057,DebtCon,Office,2,0,0,80.822479691,1,20,16.883031014,bad
8800,32169,37533,DebtCon,Other,3,0,0,74.449294767,3,19,25.34174093,bad
8800,50000,68000,DebtCon,Other,19,0,0,108.9,0,16,NA,bad
8900,33208,75000,DebtCon,Mgr,22,0,3,166.2,1,33,NA,bad
8900,62733,77741,DebtCon,Mgr,8,0,0,68.890096166,3,17,37.773300594,bad
8900,60782,100000,HomeImp,ProfExe,14,0,8,129.86666667,0,36,NA,bad
8900,64343,84013,DebtCon,Other,4,0,0,39.221719253,0,12,35.788437459,bad
8900,133847,157399,HomeImp,ProfExe,17,0,2,70.884144094,0,12,34.702330738,bad
8900,147801,157335,HomeImp,Other,4,0,0,85.574865756,4,21,34.756560384,bad
8900,72581,90585,DebtCon,Office,18,1,1,207.96666667,0,30,NA,bad
9000,90969,108606,HomeImp,Mgr,5,5,2,113.25750907,5,28,27.34759661,bad
9000,52311,68994,DebtCon,Office,0,0,1,137.78400363,0,9,28.454712858,bad
9000,52257,58275,DebtCon,Sales,5,0,0,80.251800985,0,21,34.144725947,bad
9000,31170,50725,DebtCon,Other,16,0,0,93.066666667,0,18,NA,bad
9000,84532,104000,DebtCon,ProfExe,3,0,0,50.666666667,1,3,NA,bad
9000,43881,56000,DebtCon,Other,5,0,3,73.033333333,3,28,NA,bad
9000,31896,46195,HomeImp,Other,25,0,2,122.38915525,3,16,36.681652146,bad
9000,32539,65440,HomeImp,Office,5,NA,NA,NA,NA,NA,42.368944329,bad
9100,17218,36721,DebtCon,Other,8,0,1,115.75209332,3,5,37.479410286,bad
9100,NA,11550,HomeImp,Other,NA,0,0,51.933333333,1,3,NA,bad
9100,78369,92000,DebtCon,Sales,0.2,0,0,180.83333333,3,35,NA,bad
9100,28550,40300,HomeImp,Other,5,0,0,109.53563552,7,33,23.082905342,bad
9200,64900,78000,DebtCon,Mgr,10,0,0,122.76666667,2,24,NA,bad
9200,70715,85000,DebtCon,Office,26,0,0,143.06666667,2,23,NA,bad
9300,84900,105798,DebtCon,ProfExe,2,0,0,41.807204596,1,3,26.956697896,bad
9300,78000,97700,DebtCon,Mgr,12,0,2,88.5,4,29,NA,bad
9300,24000,37125,DebtCon,Office,3.5,1,1,148.03333333,2,19,NA,bad
9300,38115,60493,DebtCon,Other,14,0,0,91.932632264,0,18,29.633608474,bad
9400,52024,89107,HomeImp,Office,0,1,0,148.84473761,3,26,36.080031774,bad
9500,50400,63000,DebtCon,Other,1,0,0,91.266666667,8,22,NA,bad
9500,36114,45654,DebtCon,Office,0,0,0,83.333291772,0,9,25.343478449,bad
9500,54612,68759,HomeImp,Other,9,0,0,89.102838608,0,19,31.353906936,bad
9500,NA,40000,HomeImp,Other,10,0,0,36.5,1,1,NA,bad
9600,42357,99756,HomeImp,Office,4,1,4,354.65022495,0,30,36.525172928,bad
9600,24680,43500,DebtCon,Other,18,0,3,114.66666667,0,19,NA,bad
9700,55986,73000,DebtCon,Other,2.5,0,1,207.16666667,2,29,NA,bad
9700,53000,56000,DebtCon,Office,2,0,0,75.033333333,5,18,NA,bad
9700,73085,92000,DebtCon,Other,8,0,3,173.5,0,34,NA,bad
9700,32660,54536,DebtCon,Office,0,0,0,156.4821057,0,13,67.32490355,bad
9700,47000,82000,HomeImp,Other,NA,1,2,96.633333333,NA,8,NA,bad
9800,36500,54000,HomeImp,Other,17,0,1,105.66666667,5,19,NA,bad
9900,37609,120186,DebtCon,Other,NA,0,0,176.36783901,3,30,53.178911112,bad
9900,88236,104953,DebtCon,ProfExe,1,0,0,51.648705242,0,2,28.622632092,bad
9900,21400,36600,DebtCon,Self,2,0,0,154.2,2,26,NA,bad
9900,71371,84865,DebtCon,Mgr,0,2,0,94.805235749,0,12,38.211305102,bad
9900,23767,39293,DebtCon,Other,5,1,0,145.76577376,0,9,24.605128805,bad
9900,59206,75690,HomeImp,Office,6,0,2,288.39505854,1,19,30.776027864,bad
10000,48300,74600,NA,Other,14,0,1,179.1,2,31,NA,bad
10000,34350,54146,DebtCon,Other,3,0,0,144.42288892,0,18,31.539013395,bad
10000,22000,41250,HomeImp,Mgr,5,0,0,97.966666667,0,21,NA,bad
10000,86000,111000,DebtCon,Other,6.5,0,1,91.966666667,3,17,NA,bad
10000,26197,46600,HomeImp,ProfExe,9,0,0,165.96666667,2,9,NA,bad
10000,NA,25010,HomeImp,Self,5,0,3,326.13333333,4,17,NA,bad
10000,20500,54600,HomeImp,Self,15,0,0,160.33333333,2,11,NA,bad
10000,NA,NA,HomeImp,Other,NA,NA,NA,NA,NA,NA,NA,bad
10000,186000,225750,HomeImp,ProfExe,2,0,0,75.866666667,NA,5,NA,bad
10000,28000,73250,HomeImp,Other,2,0,0,28.966666667,4,12,NA,bad
10000,57238,101500,DebtCon,ProfExe,10,0,0,106.83333333,0,36,NA,bad
10000,31253,65450,DebtCon,Other,21,0,0,172.03333333,0,16,NA,bad
10000,27000,54300,HomeImp,Other,0.3,0,1,91.133333333,0,6,NA,bad
10000,53297,74925,HomeImp,Other,14,0,1,88.533333333,2,15,NA,bad
