year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,24,811,810,1,1024,1042,-18,DL,269,N368NB,JFK,ATL,109,760,8,10,2013-01-24T13:00:00Z
2013,1,17,1248,1245,3,1347,1350,-3,AA,1850,N3ERAA,JFK,BOS,34,187,12,45,2013-01-17T17:00:00Z
2013,1,28,2244,2253,-9,3,15,-12,B6,112,N529JB,JFK,BUF,58,301,22,53,2013-01-29T03:00:00Z
2013,1,12,1325,1325,0,1748,1810,-22,B6,705,N526JB,JFK,SJU,180,1598,13,25,2013-01-12T18:00:00Z
2013,1,7,1913,1915,-2,2052,2111,-19,9E,3525,N605LR,JFK,ORD,123,740,19,15,2013-01-08T00:00:00Z
2013,1,11,1401,1359,2,1658,1656,2,UA,424,N566UA,EWR,PBI,152,1023,13,59,2013-01-11T18:00:00Z
2013,1,15,924,915,9,1222,1225,-3,B6,25,N579JB,JFK,FLL,161,1069,9,15,2013-01-15T14:00:00Z
2013,1,9,1954,2000,-6,2312,2329,-17,VX,415,N631VA,JFK,LAX,352,2475,20,0,2013-01-10T01:00:00Z
2013,1,30,1525,1525,0,1659,1655,4,MQ,3823,N505MQ,JFK,DCA,65,213,15,25,2013-01-30T20:00:00Z
2013,1,14,630,625,5,731,730,1,WN,3127,N419WN,EWR,BWI,36,169,6,25,2013-01-14T11:00:00Z
2013,1,18,1630,1640,-10,1957,1955,2,AA,773,N4YNAA,LGA,DFW,206,1389,16,40,2013-01-18T21:00:00Z
2013,1,2,1527,1450,37,1726,1640,46,MQ,4403,N810MQ,JFK,RDU,85,427,14,50,2013-01-02T19:00:00Z
2013,1,13,610,615,-5,753,820,-27,US,1269,N762US,JFK,CLT,82,541,6,15,2013-01-13T11:00:00Z
2013,1,25,803,807,-4,1027,1010,17,B6,219,N298JB,JFK,CLT,94,541,8,7,2013-01-25T13:00:00Z
2013,1,22,1543,1545,-2,1715,1703,12,9E,3635,N8948B,JFK,BWI,38,184,15,45,2013-01-22T20:00:00Z
2013,1,24,1318,1129,109,1607,1438,89,B6,133,N521JB,JFK,RSW,149,1074,11,29,2013-01-24T16:00:00Z
2013,1,31,2043,1930,73,2302,2131,91,EV,4532,N16149,EWR,CHS,114,628,19,30,2013-02-01T00:00:00Z
2013,1,1,1853,1900,-7,2004,2018,-14,US,2187,N951UW,LGA,DCA,54,214,19,0,2013-01-02T00:00:00Z
2013,1,14,1846,1856,-10,2156,2204,-8,UA,891,N457UA,LGA,IAH,234,1416,18,56,2013-01-14T23:00:00Z
2013,1,26,1857,1900,-3,2248,2301,-13,DL,1465,N711ZX,JFK,SFO,364,2586,19,0,2013-01-27T00:00:00Z
2013,1,18,858,859,-1,1116,1145,-29,DL,1747,N900PC,LGA,ATL,110,762,8,59,2013-01-18T13:00:00Z
2013,1,18,1832,1758,34,1956,1936,20,UA,1172,N76505,EWR,ORD,114,719,17,58,2013-01-18T22:00:00Z
2013,1,6,1904,1910,-6,2111,2118,-7,EV,4543,N12142,EWR,DSM,152,1017,19,10,2013-01-07T00:00:00Z
2013,1,19,1056,1100,-4,1206,1215,-9,MQ,3792,N542MQ,JFK,DCA,52,213,11,0,2013-01-19T16:00:00Z
2013,1,18,1003,959,4,1334,1333,1,US,450,N657AW,JFK,PHX,304,2153,9,59,2013-01-18T14:00:00Z
2013,1,27,1055,1100,-5,1154,1215,-21,US,2171,N947UW,LGA,DCA,44,214,11,0,2013-01-27T16:00:00Z
2013,1,30,955,959,-4,1216,1248,-32,B6,197,N643JB,JFK,LAS,304,2248,9,59,2013-01-30T14:00:00Z
2013,1,19,1224,1231,-7,1526,1534,-8,UA,1412,N75410,EWR,MIA,161,1085,12,31,2013-01-19T17:00:00Z
2013,1,9,1003,1010,-7,1134,1140,-6,MQ,3795,N512MQ,EWR,ORD,132,719,10,10,2013-01-09T15:00:00Z
2013,1,30,1310,1310,0,1421,1419,2,UA,717,N855UA,EWR,BOS,53,200,13,10,2013-01-30T18:00:00Z
2013,1,6,1413,1420,-7,1557,1620,-23,MQ,4588,N509MQ,LGA,MSP,143,1020,14,20,2013-01-06T19:00:00Z
2013,1,17,855,900,-5,1217,1220,-3,AA,1,N332AA,JFK,LAX,346,2475,9,0,2013-01-17T14:00:00Z
2013,1,17,1000,1000,0,1314,1310,4,UA,454,N457UA,EWR,FLL,170,1065,10,0,2013-01-17T15:00:00Z
2013,1,1,846,845,1,1138,1205,-27,B6,553,N564JB,EWR,RSW,157,1068,8,45,2013-01-01T13:00:00Z
2013,1,27,1854,1900,-6,2017,2051,-34,DL,1255,N334NB,LGA,PIT,60,335,19,0,2013-01-28T00:00:00Z
2013,1,12,658,705,-7,923,1002,-39,B6,389,N629JB,LGA,MCO,124,950,7,5,2013-01-12T12:00:00Z
2013,1,29,959,1005,-6,1308,1303,5,DL,1529,N3747D,JFK,LAS,350,2248,10,5,2013-01-29T15:00:00Z
2013,1,27,2041,2015,26,2140,2130,10,AA,1762,N3FUAA,JFK,BOS,40,187,20,15,2013-01-28T01:00:00Z
2013,1,3,1336,1340,-4,1641,1626,15,B6,525,N187JB,EWR,MCO,159,937,13,40,2013-01-03T18:00:00Z
2013,1,18,1949,2000,-11,2131,2139,-8,UA,1574,N27722,EWR,CLE,71,404,20,0,2013-01-19T01:00:00Z
2013,1,17,1438,1444,-6,1748,1745,3,B6,141,N579JB,JFK,PBI,159,1028,14,44,2013-01-17T19:00:00Z
2013,1,21,704,700,4,847,836,11,UA,1162,N73270,EWR,ORD,129,719,7,0,2013-01-21T12:00:00Z
2013,1,10,1622,1625,-3,1928,1954,-26,B6,675,N779JB,JFK,LAX,343,2475,16,25,2013-01-10T21:00:00Z
2013,1,14,1845,1758,47,2038,1936,62,UA,1139,N87513,EWR,ORD,135,719,17,58,2013-01-14T22:00:00Z
2013,1,28,1448,1455,-7,1730,1805,-35,UA,473,N472UA,EWR,FLL,150,1065,14,55,2013-01-28T19:00:00Z
2013,1,19,1242,1250,-8,1527,1550,-23,DL,1685,N335NW,LGA,MCO,142,950,12,50,2013-01-19T17:00:00Z
2013,1,13,1737,1550,107,1901,1710,111,WN,4215,N769SW,EWR,MDW,120,711,15,50,2013-01-13T20:00:00Z
2013,1,9,1830,1830,0,2011,2015,-4,MQ,4674,N507MQ,LGA,CLE,76,419,18,30,2013-01-09T23:00:00Z
2013,1,29,721,731,-10,1027,1045,-18,B6,1601,N585JB,LGA,RSW,159,1080,7,31,2013-01-29T12:00:00Z
2013,1,3,827,830,-3,1153,1145,8,UA,341,N845UA,EWR,FLL,189,1065,8,30,2013-01-03T13:00:00Z
2013,1,29,955,1000,-5,1134,1209,-35,US,1277,N755US,LGA,CLT,82,544,10,0,2013-01-29T15:00:00Z
2013,1,7,832,830,2,935,950,-15,WN,369,N467WN,EWR,MDW,108,711,8,30,2013-01-07T13:00:00Z
2013,1,26,1501,1456,5,1631,1622,9,9E,4357,N8808H,JFK,ORF,46,290,14,56,2013-01-26T19:00:00Z
2013,1,24,1435,1440,-5,1616,1614,2,UA,1493,N37267,EWR,CLE,69,404,14,40,2013-01-24T19:00:00Z
2013,1,16,1618,1620,-2,1952,2003,-11,US,35,N546UW,JFK,PHX,310,2153,16,20,2013-01-16T21:00:00Z
2013,1,21,628,630,-2,1123,1140,-17,AA,413,N3EPAA,JFK,SJU,199,1598,6,30,2013-01-21T11:00:00Z
2013,1,8,659,700,-1,1011,1034,-23,DL,763,N718TW,JFK,LAX,340,2475,7,0,2013-01-08T12:00:00Z
2013,1,21,628,630,-2,938,927,11,B6,71,N508JB,JFK,TPA,164,1005,6,30,2013-01-21T11:00:00Z
2013,1,5,1859,1900,-1,2253,2301,-8,DL,1465,N721TW,JFK,SFO,361,2586,19,0,2013-01-06T00:00:00Z
2013,1,31,958,1000,-2,1251,1321,-30,UA,499,N464UA,EWR,SEA,324,2402,10,0,2013-01-31T15:00:00Z
2013,1,21,1713,1715,-2,2009,2040,-31,DL,503,N3746H,JFK,SAN,330,2446,17,15,2013-01-21T22:00:00Z
2013,1,25,751,800,-9,958,1011,-13,EV,4214,N12201,EWR,MSP,161,1008,8,0,2013-01-25T13:00:00Z
2013,1,9,2058,2105,-7,2204,2217,-13,EV,4119,N11191,EWR,RIC,48,277,21,5,2013-01-10T02:00:00Z
2013,1,31,1710,1715,-5,2033,2019,14,DL,1585,N900DE,LGA,MCO,160,950,17,15,2013-01-31T22:00:00Z
2013,1,12,2149,2159,-10,2249,2315,-26,EV,4162,N17196,EWR,BTV,46,266,21,59,2013-01-13T02:00:00Z
2013,1,12,958,1000,-2,1234,1239,-5,DL,1847,N680DA,LGA,ATL,103,762,10,0,2013-01-12T15:00:00Z
2013,1,6,1507,1455,12,1644,1628,16,B6,8,N796JB,JFK,BUF,66,301,14,55,2013-01-06T19:00:00Z
2013,1,18,1806,1805,1,1957,1935,22,WN,389,N226WN,LGA,MDW,121,725,18,5,2013-01-18T23:00:00Z
2013,1,8,1546,1545,1,1851,1910,-19,AA,133,N324AA,JFK,LAX,341,2475,15,45,2013-01-08T20:00:00Z
2013,1,2,755,800,-5,1100,1054,6,B6,517,N703JB,EWR,MCO,146,937,8,0,2013-01-02T13:00:00Z
2013,1,31,1110,1114,-4,1311,1315,-4,DL,1031,N326NB,LGA,DTW,87,502,11,14,2013-01-31T16:00:00Z
2013,1,29,1708,1710,-2,1807,1820,-13,EV,4316,N15910,EWR,BWI,37,169,17,10,2013-01-29T22:00:00Z
2013,1,28,1521,1520,1,1820,1842,-22,DL,2115,N320US,LGA,MIA,150,1096,15,20,2013-01-28T20:00:00Z
2013,1,22,1742,1645,57,2003,1900,63,DL,1473,N355NB,LGA,MEM,154,963,16,45,2013-01-22T21:00:00Z
2013,1,13,2033,2030,3,2233,2206,27,FL,354,N988AT,LGA,CAK,71,397,20,30,2013-01-14T01:00:00Z
2013,1,14,538,540,-2,1007,1017,-10,B6,725,N571JB,JFK,BQN,184,1576,5,40,2013-01-14T10:00:00Z
2013,1,20,700,710,-10,832,850,-18,MQ,3737,N523MQ,EWR,ORD,125,719,7,10,2013-01-20T12:00:00Z
2013,1,17,820,822,-2,1036,1019,17,EV,4691,N13553,EWR,DAY,100,533,8,22,2013-01-17T13:00:00Z
2013,1,14,804,759,5,909,909,0,EV,4457,N18557,EWR,MHT,39,209,7,59,2013-01-14T12:00:00Z
2013,1,4,1328,1330,-2,1527,1527,0,EV,3840,N13914,EWR,MEM,160,946,13,30,2013-01-04T18:00:00Z
2013,1,16,656,700,-4,1023,1034,-11,DL,763,N624AG,JFK,LAX,338,2475,7,0,2013-01-16T12:00:00Z
2013,1,27,1639,1645,-6,1847,1900,-13,DL,1473,N353NB,LGA,MEM,147,963,16,45,2013-01-27T21:00:00Z
2013,1,31,1954,1859,55,2318,2225,53,B6,171,N526JB,JFK,SMF,346,2521,18,59,2013-01-31T23:00:00Z
2013,1,25,709,631,38,809,741,28,B6,1002,N821JB,JFK,BOS,33,187,6,31,2013-01-25T11:00:00Z
2013,1,22,1038,1040,-2,1156,1203,-7,EV,4240,N13994,EWR,BUF,58,282,10,40,2013-01-22T15:00:00Z
2013,1,18,621,625,-4,910,916,-6,B6,79,N807JB,JFK,MCO,145,944,6,25,2013-01-18T11:00:00Z
2013,1,15,549,600,-11,637,709,-32,B6,380,N307JB,EWR,BOS,33,200,6,0,2013-01-15T11:00:00Z
2013,1,4,1902,1910,-8,2051,2055,-4,MQ,4569,N736MQ,LGA,RDU,75,431,19,10,2013-01-05T00:00:00Z
2013,1,30,2030,2000,30,2324,2329,-5,VX,415,N632VA,JFK,LAX,331,2475,20,0,2013-01-31T01:00:00Z
2013,1,5,1317,1259,18,1439,1418,21,B6,32,N279JB,JFK,ROC,57,264,12,59,2013-01-05T17:00:00Z
2013,1,15,1929,1930,-1,2232,2213,19,DL,1715,N369NB,LGA,MSY,199,1183,19,30,2013-01-16T00:00:00Z
2013,1,9,1851,1900,-9,1952,2012,-20,US,2140,N945UW,LGA,BOS,39,184,19,0,2013-01-10T00:00:00Z
2013,1,4,632,636,-4,805,808,-3,EV,3839,N13914,EWR,BNA,129,748,6,36,2013-01-04T11:00:00Z
2013,1,5,955,959,-4,1126,1129,-3,MQ,4670,N537MQ,LGA,BNA,127,764,9,59,2013-01-05T14:00:00Z
2013,1,20,1733,1735,-2,1904,1925,-21,WN,408,N953WN,LGA,BNA,129,764,17,35,2013-01-20T22:00:00Z
2013,1,30,NA,2029,NA,NA,2140,NA,9E,3609,NA,JFK,PHL,NA,94,20,29,2013-01-31T01:00:00Z
2013,1,15,1855,1900,-5,2225,2301,-36,DL,1465,N712TW,JFK,SFO,352,2586,19,0,2013-01-16T00:00:00Z
2013,1,25,2056,2058,-2,2234,2207,27,B6,1020,N632JB,JFK,BOS,36,187,20,58,2013-01-26T01:00:00Z
2013,1,12,1118,1116,2,1350,1347,3,UA,1403,N24212,LGA,DEN,244,1620,11,16,2013-01-12T16:00:00Z
2013,1,23,1917,1925,-8,2230,2247,-17,DL,2139,N979DL,LGA,MIA,156,1096,19,25,2013-01-24T00:00:00Z
2013,1,4,1215,1220,-5,1334,1350,-16,MQ,3697,N510MQ,EWR,ORD,112,719,12,20,2013-01-04T17:00:00Z
2013,1,13,922,925,-3,1142,1150,-8,WN,3494,N441WN,EWR,DEN,230,1605,9,25,2013-01-13T14:00:00Z
2013,1,13,2250,2250,0,2350,2354,-4,B6,1018,N536JB,JFK,BOS,37,187,22,50,2013-01-14T03:00:00Z
2013,1,10,1926,1930,-4,2127,2131,-4,EV,4532,N12126,EWR,CHS,95,628,19,30,2013-01-11T00:00:00Z
2013,1,24,1327,1250,37,1420,1355,25,B6,1006,N316JB,JFK,BOS,40,187,12,50,2013-01-24T17:00:00Z
2013,1,17,1805,1807,-2,2102,2128,-26,B6,217,N566JB,JFK,LGB,336,2465,18,7,2013-01-17T23:00:00Z
2013,1,31,649,635,14,1045,1019,26,UA,849,N497UA,EWR,PHX,330,2133,6,35,2013-01-31T11:00:00Z
2013,1,17,2035,1904,91,2203,2026,97,EV,4131,N11119,EWR,RIC,65,277,19,4,2013-01-18T00:00:00Z
2013,1,20,1317,1320,-3,1636,1650,-14,VX,411,N851VA,JFK,LAX,359,2475,13,20,2013-01-20T18:00:00Z
2013,1,17,1512,1500,12,1847,1837,10,DL,963,N723TW,JFK,LAX,334,2475,15,0,2013-01-17T20:00:00Z
2013,1,7,NA,1220,NA,NA,1415,NA,AA,1757,N474AA,LGA,STL,NA,888,12,20,2013-01-07T17:00:00Z
2013,1,21,858,859,-1,1158,1159,-1,UA,430,N434UA,EWR,TPA,159,997,8,59,2013-01-21T13:00:00Z
2013,1,3,941,922,19,1307,1219,48,B6,57,N579JB,JFK,PBI,167,1028,9,22,2013-01-03T14:00:00Z
2013,1,22,1440,1446,-6,1726,1757,-31,UA,337,N423UA,LGA,IAH,209,1416,14,46,2013-01-22T19:00:00Z
2013,1,13,1721,1619,62,1821,1723,58,EV,4271,N12166,EWR,ALB,45,143,16,19,2013-01-13T21:00:00Z
