year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2004,39,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.429504513819594
2008,52,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.04139268515823
2009,35,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59061783348625
2007,57,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
2006,25,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.19312459835446
2006,33,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7207594549301986
2005,57,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.30102999566398
2008,71,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6232492903979
2004,43,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.60688524128857
2003,23,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.55630250076729
2009,30,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424
2004,22,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.437888357432701
2006,59,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.30102999566398
2003,28,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.906475558411157
2004,61,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.52121727157898
2003,34,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.806934134428886
2005,43,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.897163182317918
2006,54,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.7634279935629404
2005,69,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.508943978447599
2004,41,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966
2003,48,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.83250891270624
2003,49,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81491318127507
2009,42,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.208978929175292
2003,37,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.30102999566398
2004,55,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6138070397616735
2008,21,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.31508963106978
2004,58,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.426137996245461
2006,31,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.554795425802631
2006,25,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.284306997418907
2006,32,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.61278385671974
2009,40,1. Never Married,2. Black,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028
2003,44,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.60205999132796
2003,60,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59198011410292
2006,23,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204
2003,63,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.650747549225815
2008,44,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.47712125471966
2005,47,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.85733249643127
2004,61,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67024585307412
2009,55,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.19033169817029
2003,24,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.94200805302231
2007,42,3. Widowed,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6225937129707955
2006,25,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.395137225926241
2004,34,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.65485232216985
2009,53,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.22063101944809
2009,53,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.64056774918022
2009,70,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.85125834871908
2004,47,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.973879022424178
2003,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.719120500316865
2003,33,4. Divorced,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.34242268082221
2005,34,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.68124123737559
2006,22,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.43776886173059
2009,74,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.453562770613416
2003,40,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.5910646070265
2006,45,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.30102999566398
2009,43,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9581730298318005
2005,33,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.089790731218582
2009,62,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.743935908524918
2008,37,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.936288337595786
2004,54,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.618505589236335
2005,34,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.23044892137827
2008,50,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.669827136571832
2006,46,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.55630250076729
2007,41,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.47712125471966
2003,63,4. Divorced,2. Black,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.16316137497702
2007,38,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.85733249643127
2006,35,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.74036268949424
2009,29,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.566595403951346
2008,66,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.39794000867204
2004,37,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.524064902570666
2006,39,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7152274688887905
2003,42,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.553847206963107
2007,51,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.593984099969459
2009,55,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.74036268949424
2006,51,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.17609125905568
2008,38,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.62321723414596
2005,49,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.4969663204051935
2006,42,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.696603587020569
2009,43,5. Separated,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.46239799789896
2006,38,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.265356035547278
2008,59,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.100592456504799
2009,57,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.55630250076729
2005,25,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.248343134981078
2004,49,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.8960686019629245
2004,41,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50514997831991
2009,38,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.708073088283785
2003,61,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.37106786227174
2007,49,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.5500580830678254
2008,52,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.88649072517248
2007,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933
2008,60,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.814600454535707
2005,46,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.90308998699194
2004,21,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.038723880173765
2009,61,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.73394987118011
2007,32,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2004,58,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.647037517427814
2003,35,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.533637073330398
2004,26,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.37575674241438
2006,32,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.6425296975940595
2003,37,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.809587271647891
2007,22,1. Never Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.148456645259728
2005,51,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.124412656762293
2004,44,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.79239168949825
2005,35,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.06069784035361
2004,60,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.879646811706313
2007,40,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.230840531574857
2004,35,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.07918124604763
2007,35,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.54406804435028
2008,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.854892433268414
2003,43,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.419973831036244
2003,33,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204
2003,60,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.03342375548695
2008,38,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.91907809237607
2005,53,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.3614745024045964
2004,55,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.86923171973098
2003,57,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.637034773710859
2005,64,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.939986436313122
2007,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.912544810350016
2008,35,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81291335664286
2008,54,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.4667999588192595
2007,45,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.474262777563238
2003,58,4. Divorced,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.865737527705936
2007,48,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.977508766119223
2003,46,2. Married,3. Asian,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.23044892137827
2004,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.540947590843098
2009,55,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222
2006,51,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.85733249643127
2005,49,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.25527250510331
2008,34,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.34242268082221
2007,53,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5
2009,50,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.17026171539496
2006,37,4. Divorced,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.5910646070265
2003,39,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.97772360528885
2004,52,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.388187068744372
2003,50,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.0288148595852835
2006,48,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.815366724260513
2006,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.869967455650057
2005,27,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.589912326456315
2006,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.780566902508481
2009,44,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.7277629242363775
2003,37,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.02118929906994
2006,52,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.615376495107626
2004,26,1. Never Married,3. Asian,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796
2008,39,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.60205999132796
2006,25,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.677557062434333
2005,31,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.439548602078379
2004,58,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.02530586526477
2005,30,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6285424996532445
2004,27,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.17609125905568
2003,40,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8482403742555285
2006,55,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.15836249209525
2009,35,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.26481782300954
2008,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.5726913953257435
2006,29,1. Never Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.9162929575608
2005,25,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.49415459401844
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.79239168949825
2006,27,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.30102999566398
2006,44,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.766060311258567
2006,49,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2003,22,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.54406804435028
2007,45,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.74036268949424
2007,33,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.44715803134222
2007,63,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.76312762749814
2006,49,1. Never Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.016487762171978
2005,39,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917
2007,25,1. Never Married,4. Other,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398
2005,29,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917
2006,37,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.53605101913721
2008,35,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.04336227802113
2009,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.590322628686652
2008,58,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.297678391086906
2003,39,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286
2008,41,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.010979080034079
2008,29,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.194286231820011
2009,37,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.916607089857064
2009,62,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.442400780044553
2008,27,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.159090737178483
2003,37,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.734026893588843
2006,56,5. Separated,3. Asian,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.4960942705926845
2004,36,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
2005,23,1. Never Married,4. Other,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.195590670610934
2003,46,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60205999132796
2009,26,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.54406804435028
2006,43,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.55630250076729
2007,36,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.918188189940191
2003,54,5. Separated,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.60205999132796
2003,62,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.5103783767370045
2006,40,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.805237339541599
2006,53,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
