LOAN,MORTDUE,VALUE,REASON,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,STATUS
12500,69117,101503,HomeImp,13,0,7,145.95301782,0,36,36.759984664,0
12700,30428,47387,DebtCon,2,0,0,164.49002127,0,36,38.874158603,0
12800,40932,72172,DebtCon,20,0,0,162.04401039,0,16,37.51836575,0
12800,54151,83828,DebtCon,13,0,0,132.16026989,0,16,23.477426284,0
12800,81030,100333,DebtCon,11,0,1,80.148943035,4,29,42.319370392,0
12900,29891,76571,HomeImp,2,0,0,29.058670234,3,11,31.458500529,0
12900,117900,143433,DebtCon,6,0,0,227.93289343,0,35,47.619763526,0
13000,29461,49326,HomeImp,11,0,0,171.59766853,1,8,38.917999879,0
13000,125969,144076,DebtCon,4,0,0,110.19319627,2,30,48.977731698,0
13300,67483,85454,DebtCon,16,0,2,335.98931518,1,14,30.37586285,0
13300,25698,58760,HomeImp,15,0,0,147.91098236,1,10,30.962076653,0
13400,131524,148356,DebtCon,4,1,0,110.74174156,2,29,48.340234737,0
13400,58307,71810,DebtCon,9,0,2,82.708309337,2,32,36.947798216,0
13400,5900,55320,HomeImp,3,2,2,234.02181639,3,16,19.089300996,0
13700,74147,92427,DebtCon,7,0,3,181.30579978,0,33,39.272466343,0
13800,97778,116814,DebtCon,15,1,3,120.78139621,1,22,23.20471329,0
13900,77699,92587,DebtCon,13,0,2,134.63357916,0,36,39.196149463,0
13900,56710,59348,HomeImp,14,2,1,176.53032737,0,39,24.393714522,0
13900,144263,167164,DebtCon,8,2,6,111.58860329,5,38,91.612599977,0
13900,51653,85578,DebtCon,13,0,0,90.273079432,0,7,41.693377223,0
14100,52302,63589,HomeImp,6,0,0,130.34246718,4,8,34.792831648,0
14100,61036,84979,HomeImp,1,0,0,174.5911708,2,23,50.276214936,0
14200,68750,88627,DebtCon,10,0,1,219.67280084,0,32,34.639961398,0
14200,100663,122021,DebtCon,0,0,0,139.98397675,0,20,43.797459562,0
14500,38986,49970,HomeImp,1,8,1,220.91726199,0,17,47.914521113,0
14600,21340,44605,DebtCon,13,0,0,126.73042833,0,5,36.46319167,0
14700,51829,69136,DebtCon,14,0,0,169.98530778,0,18,35.635393849,0
14700,148396,162403,DebtCon,13,0,0,163.4989942,0,31,35.428415656,0
14900,54359,78408,DebtCon,4,3,0,129.96775559,0,24,3.0161414514,0
14900,55480,76464,HomeImp,15,0,1,122.08949983,5,20,43.06260476,0
14900,57557,80611,DebtCon,12,0,0,103.10650454,0,7,39.840875348,0
14900,58204,71257,DebtCon,3,3,2,206.51873487,1,50,43.762930265,0
15100,45351,65481,DebtCon,4,0,0,91.715292521,9,18,39.070153046,0
15200,105328,113931,HomeImp,3,0,0,138.13350449,2,32,61.89063458,0
15300,78375,108175,HomeImp,6,1,0,82.104836481,0,20,22.50324916,0
15300,49421,67343,DebtCon,4,0,0,57.929415092,6,22,42.929614185,0
15400,180017,206148,DebtCon,2,0,2,196.03365793,1,49,36.417342576,0
15400,63456,96794,DebtCon,3,0,0,85.529362471,0,28,37.362645,0
15500,57993,82248,DebtCon,10,0,0,173.07296854,0,16,32.142468978,0
15500,82054,104627,DebtCon,3,0,0,9.0485150864,1,35,60.645756259,0
15600,74156,101136,DebtCon,11,0,3,107.38846759,0,24,27.69600093,0
15600,62582,131510,DebtCon,2,0,2,122.60405287,1,17,38.588222397,0
15700,53443,77704,DebtCon,2,0,5,73.087538893,0,16,45.195495871,0
15700,53478,68885,DebtCon,5,0,0,83.69551611,5,17,40.349929995,0
15800,104913,121214,DebtCon,2,0,0,134.00383024,0,21,44.915160551,0
16100,49371,77400,DebtCon,3,2,2,214.06037616,1,51,44.21676389,0
16100,61712,82649,DebtCon,12,0,0,94.645123603,0,9,27.548831204,0
16200,83448,135447,DebtCon,17,0,5,129.78013164,9,19,45.554415483,0
16200,118585,131940,DebtCon,5,0,0,202.38516993,2,40,23.977112224,0
16200,23466,206368,DebtCon,9,7,3,141.02742652,10,41,32.36849777,0
16200,34984,46382,DebtCon,11,0,0,175.14431949,3,20,39.740928127,0
16200,46115,61917,HomeImp,2,0,0,259.36069753,0,47,43.717499442,0
16300,79087,102921,DebtCon,23,0,0,256.25308431,0,45,36.987085694,0
16300,49868,76131,DebtCon,9,0,0,81.274155797,2,9,40.372556541,0
16400,54818,74447,DebtCon,3,2,3,208.08886428,1,50,41.95642972,0
16500,52028,63745,DebtCon,7,0,0,105.53037606,4,18,41.344845835,0
16500,48833,68872,DebtCon,1,0,0,60.390652294,0,12,22.459624387,0
16500,143404,165267,DebtCon,14,0,1,169.7373629,1,31,36.178122,0
16500,43223,46925,DebtCon,10,0,0,178.00238341,4,20,40.206333768,0
16800,27623,88231,DebtCon,8,0,0,122.46327196,0,12,55.962022219,0
16800,16204,27781,HomeImp,1,10,0,190.57709682,0,9,27.146885648,0
16800,50445,71711,DebtCon,5,0,0,71.230761689,5,18,40.582913478,0
16900,73128,101683,DebtCon,26,0,0,254.19179745,0,45,38.512308689,0
17100,32134,69131,DebtCon,3,0,0,209.19880045,0,6,38.632967001,0
17300,73503,91842,DebtCon,0,0,6,142.33207559,1,32,46.902324378,0
17400,96590,112115,DebtCon,0,6,0,178.65958941,2,46,41.117887486,0
17400,79623,113658,DebtCon,0,0,2,212.12914517,2,25,35.106719635,0
17600,76043,95605,DebtCon,3,2,1,85.04333493,6,30,47.840295122,0
17700,58016,76416,DebtCon,4,0,0,28.011491753,5,10,41.463373328,0
17900,70046,135917,DebtCon,1,1,2,138.01100827,0,16,38.289202295,0
17900,51080,92051,HomeImp,10,0,0,117.08978536,0,31,42.373232999,0
18000,48724,72654,DebtCon,7,0,0,62.088605958,0,4,31.570298921,0
18100,23590,215548,DebtCon,10,7,2,136.5300202,10,41,33.272297524,0
18200,67809,89339,DebtCon,0,3,0,102.46098622,2,19,38.345340781,0
18200,95091,113294,DebtCon,15,0,3,188.50461695,0,36,78.654386048,0
18400,88352,110216,HomeImp,1,0,0,376.72364282,3,31,47.830671133,0
18400,72718,98065,DebtCon,8,0,0,119.05781713,0,19,35.364128433,0
18400,116228,148722,DebtCon,1,0,0,159.16923466,2,25,38.079761822,0
18600,73473,105848,HomeImp,9,0,4,186.71283572,1,14,27.646036576,0
18600,23850,61808,HomeImp,12,0,0,46.946164052,0,8,40.852927503,0
18600,64248,82690,DebtCon,0,1,0,89.189005469,0,23,53.848219887,0
18600,51936,75278,DebtCon,3,0,0,199.80175424,0,21,36.995645842,0
18700,39441,71345,DebtCon,11,0,4,132.83675752,0,13,27.691648158,0
18700,70562,91223,DebtCon,27,0,2,112.71036806,4,35,64.272476898,0
18700,66003,82410,DebtCon,0,1,0,85.77380757,1,23,51.517385302,0
18800,67666,167619,HomeImp,14,0,0,135.95180823,1,11,47.590528653,0
18800,73396,137076,DebtCon,18,0,1,163.59204517,4,20,40.375372412,0
18900,51075,78045,DebtCon,2,1,5,74.091196034,1,15,42.198282202,0
18900,61429,84990,DebtCon,8,3,1,166.17939921,2,64,40.436704805,0
19000,24658,47027,HomeImp,19,0,0,159.10522518,4,31,53.548195849,0
19300,27747,43740,DebtCon,7,1,0,167.65798082,1,16,35.086070551,0
19300,96454,157809,DebtCon,3,0,0,1168.2335609,0,0,40.206138263,0
19500,100077,122352,DebtCon,3,0,0,58.861027463,0,9,38.121518334,0
19600,117646,149975,DebtCon,4,0,0,114.21361486,1,12,31.222802648,0
19700,62351,84624,DebtCon,0,1,0,88.126516775,1,22,54.241334737,0
19700,139534,172125,DebtCon,0,0,0,101.94351853,6,17,32.761083981,0
20100,16755,29412,HomeImp,3,1,0,62.050110801,2,21,58.132182899,0
20200,82181,119535,DebtCon,41,0,0,105.21929675,3,28,52.734860612,0
20300,63803,89079,DebtCon,21,0,4,323.80857327,4,28,45.875916904,0
20300,77325,133075,DebtCon,19,1,0,166.12608913,4,21,40.736021938,0
20300,180254,220843,HomeImp,11,0,0,217.12816724,0,25,41.563100649,0
20300,66667,92158,DebtCon,9,3,1,174.89210564,2,64,40.545680998,0
20400,19265,43962,DebtCon,5,2,0,177.90470706,1,15,35.404638874,0
20500,25984,95541,DebtCon,28,1,5,248.40487821,0,21,17.805848892,0
20500,113963,131135,HomeImp,3,1,0,243.68060389,1,26,143.94960495,0
20500,106839,144460,DebtCon,13,1,1,107.67138171,4,49,39.687089435,0
20500,85884,103546,DebtCon,5,9,0,39.985829576,5,16,34.068268927,0
20600,52946,83558,DebtCon,0,0,0,65.882879392,0,10,65.143593455,0
20800,176235,209695,DebtCon,9,3,0,159.70677027,0,25,38.591939971,0
20900,66575,79416,DebtCon,13,2,1,107.26951261,7,28,28.382337015,0
20900,122807,150896,DebtCon,5,0,0,123.4795377,2,13,30.424481104,0
20900,61402,88659,DebtCon,9,3,0,164.24893233,1,63,40.921433337,0
21000,113954,136249,DebtCon,2,0,0,97.544252184,13,14,33.620883435,0
21000,48735,71694,DebtCon,8,0,0,48.498970842,3,10,32.921400637,0
21200,69212,106273,DebtCon,12,0,1,97.2311228,0,22,18.11489583,0
21300,103989,143796,DebtCon,9,2,0,135.23283605,3,20,44.382577891,0
21400,166244,212505,DebtCon,4,2,7,183.5480397,4,24,38.149059231,0
21400,104657,147364,DebtCon,7,2,0,149.25448005,2,20,46.305072149,0
21400,95147,132304,DebtCon,7,1,5,206.12766482,1,18,36.235665389,0
21600,144276,190797,DebtCon,0,1,4,313.42732166,2,18,37.971354949,0
21700,24984,92297,DebtCon,26,0,6,238.36963726,1,20,16.397160872,0
21800,76324,102287,DebtCon,6,0,1,61.641325377,4,29,41.03238603,0
21900,52735,75372,DebtCon,5,0,1,217.02094018,6,23,34.015914976,0
22400,51470,68139,DebtCon,9,0,0,31.16869601,2,8,37.952179906,0
22600,78975,103374,DebtCon,11,0,0,259.31975498,1,14,27.744055511,0
22700,94601,99755,DebtCon,3,0,0,129.56430076,0,16,37.969304541,0
22800,129697,167475,DebtCon,5,0,1,202.60380291,1,18,22.043933842,0
22900,161754,193666,DebtCon,2,0,0,260.25108099,0,27,30.278929391,0
23000,72638,109183,DebtCon,2,0,0,177.61164796,2,22,48.277591224,0
23200,129355,171709,DebtCon,0,0,0,328.51412138,0,30,40.048440044,0
23200,14511,81579,DebtCon,7,0,3,272.938299,0,23,47.120580493,0
23300,71734,100072,DebtCon,6,0,7,122.79944314,0,21,34.530438587,0
23700,43712,75191,DebtCon,6,0,0,50.717534833,2,18,37.10325125,0
23800,55753,87971,HomeImp,1,0,0,56.667099395,0,13,64.775727757,0
24000,88783,116967,DebtCon,2,0,0,171.50625674,5,23,56.961838569,0
24700,79347,108238,DebtCon,0,1,0,45.62588779,6,49,46.996034289,0
24800,76220,102087,HomeImp,6,0,1,126.64101955,0,32,48.569574037,0
24900,62191,83694,HomeImp,3,0,0,55.937512295,0,14,62.110721871,0
25000,47032,75957,DebtCon,9,0,7,259.46652785,3,22,40.787975749,0
25000,75110,114208,DebtCon,3,2,0,83.052647472,1,27,45.743949059,0
25400,107343,192642,DebtCon,1,0,10,192.6716931,1,14,35.759760239,0
25600,105480,126389,DebtCon,25,0,2,307.40290366,2,35,36.763824165,0
25600,50910,87358,DebtCon,19,2,0,104.40647219,0,27,42.677450653,0
25700,32613,63065,DebtCon,0,0,0,218.48527507,0,22,41.210107042,0
25900,42105,73249,DebtCon,2,0,0,109.21115611,3,22,31.809085921,0
25900,21852,57518,HomeImp,2,0,0,80.168479422,2,11,31.983686037,0
26000,43314,71303,DebtCon,8,0,7,246.31867494,3,23,43.215233511,0
26500,61223,92255,DebtCon,2,0,1,214.03253889,0,17,1.8555399803,0
26600,84843,115850,DebtCon,2,0,0,137.53887762,2,37,42.571889924,0
26800,89146,128923,DebtCon,7,2,1,114.46195526,7,16,2.8302971697,0
26800,138216,170052,DebtCon,10,0,0,199.73871138,1,29,76.421478047,0
26800,18459,53907,DebtCon,0,0,0,200.41702708,0,6,71.512110567,0
27000,79218,115721,DebtCon,9,0,0,280.3437201,0,35,33.227763077,0
27200,61118,35184,DebtCon,10,4,2,134.6489043,7,23,45.25528966,0
27300,106221,137727,DebtCon,3,0,0,300.57451085,3,45,32.560359399,0
27400,113364,146520,HomeImp,16,1,1,284.3680179,2,13,34.627659402,0
27700,97834,132396,HomeImp,18,0,2,303.95191452,2,26,6.8870241268,0
27700,85285,116468,DebtCon,9,0,0,312.80792835,0,36,35.96802437,0
27900,62264,39604,DebtCon,10,3,1,118.77826456,7,23,48.077531472,0
27900,90694,121543,DebtCon,5,2,1,107.04625061,8,15,0.8381175254,0
28200,66242,109762,DebtCon,8,0,1,130.96956536,0,21,60.295413494,0
28300,104686,136033,HomeImp,13,0,2,291.17166139,1,27,5.7629948717,0
28500,108293,135317,DebtCon,5,0,0,219.61525186,4,43,31.209731086,0
28600,126189,167157,DebtCon,19,0,2,239.22703591,0,26,31.012748928,0
28700,25190,59841,DebtCon,1,0,1,201.17678326,0,11,35.72928694,0
28900,63748,36392,DebtCon,9,4,1,124.24789861,6,23,44.578500055,0
30200,80951,116160,DebtCon,19,4,0,130.36036182,0,58,50.352998788,0
30500,18375,61738,DebtCon,20,3,5,141.70313332999999,0,28,45.354788696,0
31000,67794,103535,DebtCon,7,0,1,116.89898988,1,31,44.065428782,0
31200,38352,80550,DebtCon,21,1,0,116.4379076,0,14,35.38186329,0
32000,33148,69965,DebtCon,13,2,4,112.51086544,3,27,36.021508666,0
33100,111917,156552,DebtCon,12,0,0,107.2948996,2,37,41.441548663,0
33200,36705,78040,DebtCon,19,2,0,120.09014303,0,13,35.015748716,0
34400,155536,169503,DebtCon,10,0,0,107.7099227,4,32,58.826929601,0
34600,169960,224716,DebtCon,2,0,0,182.06846112,2,21,32.710204856,0
36100,233417,324987,HomeImp,4,0,0,152.24542792,0,25,21.862938911,0
36600,397299,512650,DebtCon,4,0,0,197.51668389,0,21,43.458327417,0
36800,125894,172184,DebtCon,11,0,1,214.73116034,1,33,43.847543717,0
37300,68789,86172,HomeImp,2,0,6,235.63790564,2,25,114.0505277,0
38000,94083,132791,DebtCon,10,0,1,212.99272796,0,64,62.801732089,0
38700,119847,162365,HomeImp,13,0,0,149.80279545,0,39,47.915112415,0
38900,120006,160771,HomeImp,13,0,0,137.6353734,0,40,46.701585238,0
39000,399412,511164,DebtCon,5,0,0,181.96240081,0,21,43.730031852,0
42000,9999,50681,HomeImp,3,0,0,326.06798565,5,15,12.386741311,0
42400,220757,297444,DebtCon,30,0,0,237.58980224,1,25,44.471099035,0
42800,9133,44083,HomeImp,5,0,0,333.91337361,5,15,13.417822254,0
43200,217036,291222,DebtCon,30,0,0,228.14645828,1,25,43.789499295,0
43300,217840,299171,DebtCon,31,0,0,232.27006776,1,24,43.1146909,0
44000,55604,101916,DebtCon,3,0,1,194.23495289,2,37,43.338556593,0
44400,67272,130818,HomeImp,9,0,0,112.5918505,0,12,43.680965012,0
45100,67552,128659,HomeImp,10,0,0,83.323113419,0,13,43.874079432,0
50200,197770,271676,DebtCon,16,0,0,146.86254129,1,20,42.926580203,0
50400,168561,244322,DebtCon,16,0,1,184.52328535,3,47,47.417376045,0
53400,228236,305514,HomeImp,6,0,0,11.148068505,0,2,34.558416715,0
53600,235895,299772,HomeImp,5,0,0,112.74828189,7,22,44.945929149,0
53600,208197,297280,DebtCon,4,1,1,160.48525117,2,29,41.646731499,0
65500,205156,290239,DebtCon,2,0,0,98.808205619,1,21,144.18900129,0
77400,87651,224630,HomeImp,9,0,2,73.469630013,3,13,40.929793264,0
15100,68043,80686,DebtCon,4,0,0,119.67249086,1,20,21.418227456,1
13700,12577,41075,DebtCon,7,0,0,133.54201413,0,10,22.964772727,1
22900,70497,103855,HomeImp,13,0,0,149.98961042,0,27,33.76898573,1
10800,49953,75322,DebtCon,0,0,0,58.892731331,8,21,23.875946186,1
7000,81335,81018,HomeImp,22,0,0,341.61057605,1,47,27.767299768,1
18400,40673,60418,HomeImp,27,0,0,247.64957888,0,13,24.980298956,1
5000,66435,82819,HomeImp,2,0,0,125.13062556,0,14,42.183538672,1
13500,59941,69336,HomeImp,29,1,2,182.69566963,1,24,35.51267298,1
4300,72021,80027,HomeImp,2,2,0,263.97030029,0,5,36.432093937,1
38100,67559,113024,DebtCon,16,0,0,190.67667138,0,22,40.239609635,1
18200,93702,158647,HomeImp,4,0,1,96.177793274,0,16,34.709935978,1
11000,77723,107245,HomeImp,5,0,0,115.55852962,0,26,26.91192966,1
12200,90154,110479,DebtCon,9,0,0,196.92640591,2,37,43.189031502,1
35000,239058,40848,DebtCon,4,0,1,212.01540583,3,49,40.131815447,1
24500,21470,52228,DebtCon,25,0,0,124.55994931,0,11,23.888121681,1
65200,63338,148871,HomeImp,11,0,0,124.24307678,0,12,41.444010777,1
25500,79593,113063,DebtCon,9,0,0,135.74061354,0,19,28.040793179,1
32300,133193,174905,DebtCon,13,0,0,177.0516476,1,28,39.475689602,1
20900,16174,34886,DebtCon,1,0,0,52.303656254,1,4,29.752732197,1
8300,14601,66143,HomeImp,24,0,0,320.23488221,1,12,40.015070568,1
40500,66895,113770,DebtCon,14,0,0,188.14041683,0,22,38.085328131,1
30900,190480,298239,DebtCon,27,0,1,164.60487057,0,23,39.601452126,1
20200,45088,65211,DebtCon,10,0,2,118.56966954,1,22,43.454512149,1
25300,46780,62536,DebtCon,18,0,0,189.13668831,0,22,30.746724366,1
31100,136521,188264,DebtCon,1,1,0,227.65187783,2,19,38.518644882,1
11900,81849,105403,HomeImp,5,0,1,82.639505382,1,34,36.50598321,1
17600,39057,50933,DebtCon,6,0,0,239.20163009,1,35,39.301070716,1
18900,103130,120119,DebtCon,7,0,0,292.7517427,1,19,30.681688914,1
26500,76599,119041,DebtCon,4,0,0,97.265658469,1,31,40.12650973,1
8600,78579,93697,DebtCon,0,0,0,115.19332144,1,10,33.837202699,1
6100,68743,65321,HomeImp,3,1,0,153.0667831,0,22,40.15052706,1
10300,75483,99345,DebtCon,3,0,0,133.79051006,0,25,34.887236085,1
12200,136866,162906,HomeImp,4,0,0,427.92359149,0,43,30.182122904,1
19100,73217,93033,DebtCon,1,2,1,113.69456607,2,26,36.384163815,1
11900,44142,54299,HomeImp,22,0,0,123.47114722,0,22,37.154902302000004,1
17300,65136,83847,DebtCon,6,0,0,127.09997366,0,20,24.5182717,1
27600,131887,174323,DebtCon,0,0,0,243.05371295,2,24,35.271867032,1
16400,102103,133626,DebtCon,5,0,0,95.366348366,0,14,31.275182524,1
10300,58572,75946,DebtCon,5,0,0,85.010052857,2,14,27.769438937,1
35200,239987,43028,DebtCon,2,0,1,210.18900524,3,49,41.336626731,1
19900,74193,94078,HomeImp,7,0,0,81.414351704,0,15,32.033550455,1
27600,103898,130784,DebtCon,11,0,0,147.12839778,0,29,42.009813582,1
14200,73533,88924,DebtCon,21,0,0,232.35332303,10,23,36.470707024,1
26100,80176,113247,DebtCon,9,0,1,294.75203341,1,29,33.19212531,1
19700,33529,61209,DebtCon,17,0,0,112.15874119,0,18,40.725296117,1
14400,46551,68545,DebtCon,7,0,0,118.74648606,3,49,29.571263376,1
12800,79151,110583,DebtCon,4,0,0,79.371384496,1,13,33.586691632,1
18700,136790,178135,DebtCon,12,0,0,246.95441969,0,21,30.11861356,1
31200,234304,290923,DebtCon,14,0,1,260.91977587,2,26,27.057234292,1
18000,72152,102671,HomeImp,7,0,0,84.639348205,0,16,32.886875225,1
11200,23181,80140,HomeImp,21,0,0,221.4180934,0,10,25.462641527,1
8500,64665,72376,HomeImp,4,0,0,70.934880772,3,20,40.309041225,1
17700,10847,94611,HomeImp,14,0,1,271.39666705,0,22,27.283395304,1
16000,69861,87086,DebtCon,7,0,0,205.32804581,2,18,43.436334345,1
29200,50105,83815,DebtCon,21,0,0,188.20102865,0,26,35.595750669,1
